"state","s_fips","county","c_fips","happening","happening_oppose"
"MICHIGAN",26,"OTSEGO COUNTY",137,63.547,17.281
"MINNESOTA",27,"ST. LOUIS COUNTY",137,66.879,13.466
"MISSISSIPPI",28,"TATE COUNTY",137,61.216,15.322
"MISSOURI",29,"MONROE COUNTY",137,59.502,19.21
"NEBRASKA",31,"PHELPS COUNTY",137,59.523,21.045
"NORTH CAROLINA",37,"PAMLICO COUNTY",137,67.907,13.234
"OHIO",39,"PUTNAM COUNTY",137,58.294,21.035
"OKLAHOMA",40,"STEPHENS COUNTY",137,59.674,19.547
"SOUTH DAKOTA",46,"ZIEBACH COUNTY",137,76.419,8.548
"TENNESSEE",47,"PICKETT COUNTY",137,59.557,18.631
"TEXAS",48,"EDWARDS COUNTY",137,71.514,11.974
"ARKANSAS",5,"STONE COUNTY",137,64.805,17.255
"VIRGINIA",51,"ORANGE COUNTY",137,68.255,13.751
"WISCONSIN",55,"WAUSHARA COUNTY",137,63.822,16.239
"GEORGIA",13,"HALL COUNTY",139,63.121,16.716
"ILLINOIS",17,"MOULTRIE COUNTY",139,60.92,18.927
"INDIANA",18,"RUSH COUNTY",139,58.298,20.367
"IOWA",19,"MUSCATINE COUNTY",139,61.549,15.636
"KANSAS",20,"OSAGE COUNTY",139,61.796,17.862
"KENTUCKY",21,"LIVINGSTON COUNTY",139,55.022,21.444
"MICHIGAN",26,"OTTAWA COUNTY",139,63.259,15.81
"MINNESOTA",27,"SCOTT COUNTY",139,67.421,16.226
"MISSISSIPPI",28,"TIPPAH COUNTY",139,58.387,17
"MISSOURI",29,"MONTGOMERY COUNTY",139,59.73,18.885
"NEBRASKA",31,"PIERCE COUNTY",139,56.852,23.002
"NORTH CAROLINA",37,"PASQUOTANK COUNTY",139,71.13,10.062
"OHIO",39,"RICHLAND COUNTY",139,60.358,18.508
"OKLAHOMA",40,"TEXAS COUNTY",139,63.37,17.365
"TENNESSEE",47,"POLK COUNTY",139,59.386,19.885
"TEXAS",48,"ELLIS COUNTY",139,66.287,15.51
"ARKANSAS",5,"UNION COUNTY",139,61.387,15.268
"VIRGINIA",51,"PAGE COUNTY",139,63.259,16.638
"WISCONSIN",55,"WINNEBAGO COUNTY",139,65.632,14.631
"COLORADO",8,"BROOMFIELD COUNTY",14,75.746,10.925
"GEORGIA",13,"HANCOCK COUNTY",141,66.87,7.409
"ILLINOIS",17,"OGLE COUNTY",141,66.797,15.571
"INDIANA",18,"ST. JOSEPH COUNTY",141,68.853,12.504
"IOWA",19,"O'BRIEN COUNTY",141,62.084,18.283
"KANSAS",20,"OSBORNE COUNTY",141,61.766,19.667
"KENTUCKY",21,"LOGAN COUNTY",141,57.49,18.813
"MICHIGAN",26,"PRESQUE ISLE COUNTY",141,65.328,15.906
"MINNESOTA",27,"SHERBURNE COUNTY",141,62.847,16.945
"MISSISSIPPI",28,"TISHOMINGO COUNTY",141,53.576,23.172
"MISSOURI",29,"MORGAN COUNTY",141,63.872,15.278
"NEBRASKA",31,"PLATTE COUNTY",141,63.391,18.381
"NORTH CAROLINA",37,"PENDER COUNTY",141,66.867,14.267
"OHIO",39,"ROSS COUNTY",141,66.332,14.418
"OKLAHOMA",40,"TILLMAN COUNTY",141,64.392,16.289
"TENNESSEE",47,"PUTNAM COUNTY",141,59.773,18.326
"TEXAS",48,"EL PASO COUNTY",141,78.3,7.719
"ARKANSAS",5,"VAN BUREN COUNTY",141,60.231,19.523
"VIRGINIA",51,"PATRICK COUNTY",141,60.844,18.591
"WISCONSIN",55,"WOOD COUNTY",141,63.879,16.213
"GEORGIA",13,"HARALSON COUNTY",143,56.713,20.315
"ILLINOIS",17,"PEORIA COUNTY",143,67.085,13.41
"INDIANA",18,"SCOTT COUNTY",143,63.031,17.05
"IOWA",19,"OSCEOLA COUNTY",143,59.562,19.397
"KANSAS",20,"OTTAWA COUNTY",143,63.001,18.801
"KENTUCKY",21,"LYON COUNTY",143,60.852,18.086
"MICHIGAN",26,"ROSCOMMON COUNTY",143,65.201,15.756
"MINNESOTA",27,"SIBLEY COUNTY",143,63.169,16.549
"MISSISSIPPI",28,"TUNICA COUNTY",143,70.633,6.685
"MISSOURI",29,"NEW MADRID COUNTY",143,57.282,14.587
"NEBRASKA",31,"POLK COUNTY",143,60.436,19.541
"NORTH CAROLINA",37,"PERQUIMANS COUNTY",143,65.978,14.046
"OHIO",39,"SANDUSKY COUNTY",143,60.916,17.221
"OKLAHOMA",40,"TULSA COUNTY",143,65.852,16.951
"TENNESSEE",47,"RHEA COUNTY",143,61.688,18.619
"TEXAS",48,"ERATH COUNTY",143,59.833,22.373
"ARKANSAS",5,"WASHINGTON COUNTY",143,69.548,13.462
"VIRGINIA",51,"PITTSYLVANIA COUNTY",143,64.156,15.024
"GEORGIA",13,"HARRIS COUNTY",145,61.698,17.506
"ILLINOIS",17,"PERRY COUNTY",145,60.23,18.03
"INDIANA",18,"SHELBY COUNTY",145,61.174,19.065
"IOWA",19,"PAGE COUNTY",145,63.867,17.247
"KANSAS",20,"PAWNEE COUNTY",145,60.928,19.388
"KENTUCKY",21,"MCCRACKEN COUNTY",145,62.011,15.708
"MICHIGAN",26,"SAGINAW COUNTY",145,68.471,12.753
"MINNESOTA",27,"STEARNS COUNTY",145,63.794,15.253
"MISSISSIPPI",28,"UNION COUNTY",145,56.016,19.298
"MISSOURI",29,"NEWTON COUNTY",145,59.899,18.468
"NEBRASKA",31,"RED WILLOW COUNTY",145,58.536,21.773
"NORTH CAROLINA",37,"PERSON COUNTY",145,58.028,13.125
"OHIO",39,"SCIOTO COUNTY",145,61.992,17.536
"OKLAHOMA",40,"WAGONER COUNTY",145,61.519,19.2
"TENNESSEE",47,"ROANE COUNTY",145,57.533,20.086
"TEXAS",48,"FALLS COUNTY",145,64.705,12.792
"ARKANSAS",5,"WHITE COUNTY",145,58.678,20.638
"VIRGINIA",51,"POWHATAN COUNTY",145,62.772,16.761
"GEORGIA",13,"HART COUNTY",147,61.654,16.863
"ILLINOIS",17,"PIATT COUNTY",147,63.665,17.65
"INDIANA",18,"SPENCER COUNTY",147,53.547,19.122
"IOWA",19,"PALO ALTO COUNTY",147,67.08,15.596
"KANSAS",20,"PHILLIPS COUNTY",147,57.49,22.533
"KENTUCKY",21,"MCCREARY COUNTY",147,52.04,21.822
"MICHIGAN",26,"ST. CLAIR COUNTY",147,65.236,15.667
"MINNESOTA",27,"STEELE COUNTY",147,65.43,16.414
"MISSISSIPPI",28,"WALTHALL COUNTY",147,66.624,11.345
"MISSOURI",29,"NODAWAY COUNTY",147,65.557,16.419
"NEBRASKA",31,"RICHARDSON COUNTY",147,61.827,18.72
