"state","s_fips","county","c_fips","prop_dem","prop_rep","prop_lib","prop_green","prop_other","ttl_votes"
"NORTH DAKOTA",38,"RENVILLE",75,0.166793025018954,0.807429871114481,0.0242608036391205,0,0.00151630022744503,1319
"NORTH DAKOTA",38,"RICHLAND",77,0.321300563236047,0.649257552483359,0.0244495647721454,0,0.00499231950844854,7812
"NORTH DAKOTA",38,"ROLETTE",79,0.652471083070452,0.330441640378549,0.0157728706624606,0,0.00131440588853838,3804
"NORTH DAKOTA",38,"SARGENT",81,0.356521739130435,0.611594202898551,0.029951690821256,0,0.00193236714975845,2070
"NORTH DAKOTA",38,"SHERIDAN",83,0.12807881773399,0.847290640394089,0.0197044334975369,0,0.00492610837438424,812
"NORTH DAKOTA",38,"SIOUX",85,0.677908937605396,0.217537942664418,0.0404721753794266,0,0.0640809443507589,1186
"NORTH DAKOTA",38,"SLOPE",87,0.103044496487119,0.889929742388759,0.00468384074941452,0,0.00234192037470726,427
"NORTH DAKOTA",38,"STARK",89,0.166046511627907,0.804651162790698,0.026312292358804,0,0.00299003322259136,15050
"NORTH DAKOTA",38,"BOTTINEAU",9,0.236531259003169,0.741861135119562,0.0187265917602996,0,0.00288101411696917,3471
"NORTH DAKOTA",38,"STEELE",91,0.360294117647059,0.599264705882353,0.0349264705882353,0,0.00551470588235294,1088
"NORTH DAKOTA",38,"STUTSMAN",93,0.268701676875188,0.702279345315795,0.025002510292198,0,0.00401646751681896,9959
"NORTH DAKOTA",38,"TOWNER",95,0.270017035775128,0.706984667802385,0.0212947189097104,0,0.00170357751277683,1174
"NORTH DAKOTA",38,"TRAILL",97,0.360976789168279,0.609767891682785,0.0265957446808511,0,0.00265957446808511,4136
"NORTH DAKOTA",38,"WALSH",99,0.278695379468953,0.694961321346435,0.0198620112899854,0,0.0064812878946268,4783
"OHIO",39,"ADAMS",1,0.177521613832853,0.812680115273775,0.00757513379991766,0,0.0022231370934541,12145
"OHIO",39,"MARION",101,0.297253576820764,0.683837802861457,0.0148824502120929,0,0.00402617010568697,27818
"OHIO",39,"MEDINA",103,0.376092605716986,0.610422867942358,0.0108103000236239,0,0.00267422631703284,105825
"OHIO",39,"MEIGS",105,0.227559127020363,0.75938270477582,0.0101360606337321,0,0.00292210757008492,10951
"OHIO",39,"MERCER",107,0.169605656327596,0.818652413618955,0.00858549724338201,0,0.00315643281006692,23761
"OHIO",39,"MIAMI",109,0.270182156903333,0.713637618160491,0.0134892706823984,0,0.00269095425377769,57972
"OHIO",39,"AUGLAIZE",11,0.180432168211972,0.806843309927455,0.0100865112309423,0,0.00263801062963107,25777
"OHIO",39,"MONROE",111,0.224538332400672,0.764269725797426,0.00755456071628428,0,0.00363738108561835,7148
"OHIO",39,"MONTGOMERY",113,0.503022290087708,0.480564607735424,0.0127297443250591,0,0.00368335785180909,268505
"OHIO",39,"MORGAN",115,0.25193515408208,0.736234847378414,0.00934715933985687,0,0.00248283919964948,6847
