"state","s_fips","county","c_fips","ttl_pop","male_pop","female_pop","med_age","male_med_age","female_med_age","white_pop","black_pop","native_pop","asian_pop","pacific_pop","other_race_pop","mult_race_pop","white_nonhisp_pop","hisp_ttl_pop","white_hisp_pop","black_hisp_pop","med_income"
"Wisconsin",55,"Rusk County",107,14132,7074,7058,49,48.5,49.7,13602,90,64,23,18,31,304,13386,270,216,0,47532
"California",6,"Tulare County",107,461898,230966,230932,31,30.3,31.7,340462,7201,6118,16690,766,74949,15712,131716,298245,208746,1416,49687
"Colorado",8,"Routt County",107,25072,13044,12028,40.2,39.3,41.5,24002,232,99,285,5,234,215,22495,1743,1507,0,77443
"Alabama",1,"Pike County",109,33333,15980,17353,31.2,29.2,33.2,19301,12277,188,734,3,23,807,18672,750,629,83,37446
"Florida",12,"St. Johns County",109,244674,119055,125619,43.7,42.5,44.7,216331,13224,943,6595,192,1419,5970,202180,17012,14151,485,82252
"Georgia",13,"Evans County",109,10687,5290,5397,37.6,34.3,40.2,6199,3175,15,97,0,1053,148,6012,1253,187,7,42607
"Illinois",17,"McDonough County",109,30479,14845,15634,33,31.1,35.1,27372,1442,33,653,0,159,820,26782,844,590,20,44471
"Indiana",18,"Morgan County",109,69922,34624,35298,41.5,39.9,42.9,67978,285,26,585,0,155,893,67126,1102,852,0,64335
"Iowa",19,"Kossuth County",109,14978,7508,7470,45.5,44,46.9,14481,114,58,84,2,76,163,14194,402,287,8,56073
"Kansas",20,"Logan County",109,2805,1408,1397,39.7,38,40.5,2658,2,23,0,10,33,79,2526,172,132,0,51740
"Kentucky",21,"Jackson County",109,13369,6632,6737,42.2,41.1,43.3,13111,42,0,0,0,0,216,13087,33,24,0,32138
"Louisiana",22,"Terrebonne Parish",109,112054,55354,56700,35.8,35,36.9,78715,21311,6337,1111,64,1525,2991,74703,5773,4012,89,48747
"Michigan",26,"Menominee County",109,23074,11700,11374,48.8,47.8,50,21756,73,531,94,0,23,597,21434,419,322,0,46828
"Minnesota",27,"Olmsted County",109,154809,75648,79161,37.2,36.1,38.1,129616,9566,554,9028,128,1513,4404,123957,7626,5659,286,76951
"Mississippi",28,"Pearl River County",109,55219,27311,27908,40.9,39.5,42.7,46246,7055,315,137,0,323,1143,45177,1709,1069,9,46901
"Missouri",29,"Lawrence County",109,38204,18918,19286,39.4,38.5,40,36225,184,313,14,60,629,779,34040,2847,2185,0,44742
"Montana",30,"Wibaux County",109,1122,524,598,47.1,50.7,45.9,1101,0,13,8,0,0,0,1046,55,55,0,53958
"Nebraska",31,"Lancaster County",109,313158,157231,155927,33.5,32.7,34.4,269630,12501,2147,13153,241,4248,11238,254337,22068,15293,560,60527
"New York",36,"Tompkins County",109,102642,50677,51965,31.1,29.7,33.1,82359,3859,224,9964,57,1666,4513,79161,5294,3198,284,60240
"North Carolina",37,"Lincoln County",109,82919,41244,41675,43.3,42.1,44.5,74133,4125,201,593,42,2019,1806,70326,6014,3807,26,57536
"Ohio",39,"Miami County",109,105371,52106,53265,41.3,40.2,42.9,98717,2130,147,1317,6,253,2801,97248,1774,1469,2,61041
"Oklahoma",40,"Oklahoma County",109,787216,385353,401863,34.6,33.5,35.7,539029,117836,22796,26573,807,28683,51492,440742,136829,98287,1721,54520
"Pennsylvania",42,"Snyder County",109,40483,20143,20340,40.2,39.2,41.5,39022,425,30,275,0,221,510,38493,867,529,52,58997
"South Dakota",46,"Roberts County",109,10287,5267,5020,38.1,37.6,38.9,5932,62,3962,11,0,91,229,5811,357,121,0,50348
"Tennessee",47,"McNairy County",109,25844,12548,13296,43.5,42,44.4,23639,1428,49,54,0,105,569,23210,545,429,1,39161
"Texas",48,"Culberson County",109,2214,1260,954,34.4,31.8,40.3,1733,3,1,13,0,402,62,562,1573,1171,0,37900
"Arkansas",5,"Pike County",109,10756,5312,5444,43.1,42.6,43.8,9774,439,56,61,0,279,147,9398,700,376,0,40401
"Virginia",51,"Louisa County",109,36040,17679,18361,44.8,44.1,45.6,28710,5359,89,208,0,420,1254,28126,1059,584,55,60975
"West Virginia",54,"Wyoming County",109,21281,10477,10804,44.6,43.3,46,20716,262,0,54,0,25,224,20674,67,42,0,42332
"Wisconsin",55,"St. Croix County",109,88732,44328,44404,38.9,38.3,39.8,85085,710,173,869,1,305,1589,83326,2134,1759,0,84756
"California",6,"Tuolumne County",109,54045,28112,25933,48.4,45.4,51.2,47447,984,965,754,123,1406,2366,43341,6617,4106,36,60108
