"state","s_fips","county","c_fips","weather_type","year"
"SOUTH CAROLINA",45,"BARNWELL COUNTY",11,"Hurricane","2018"
"SOUTH CAROLINA",45,"BARNWELL COUNTY",11,"Hurricane","2019"
"WISCONSIN",55,"BARRON COUNTY",5,"Flood","2019"
"GEORGIA",13,"BARROW COUNTY",13,"Hurricane","2017"
"GEORGIA",13,"BARROW COUNTY",13,"Severe Ice Storm","2015"
"MISSOURI",29,"BARRY COUNTY",9,"Flood","2016"
"MISSOURI",29,"BARRY COUNTY",9,"Severe Storm(s)","2015"
"MISSOURI",29,"BARRY COUNTY",9,"Flood","2017"
"MISSOURI",29,"BARRY COUNTY",9,"Severe Storm(s)","2019"
"KANSAS",20,"BARTON COUNTY",9,"Severe Storm(s)","2015"
"KANSAS",20,"BARTON COUNTY",9,"Severe Storm(s)","2019"
"KANSAS",20,"BARTON COUNTY",9,"Severe Ice Storm","2017"
"MISSOURI",29,"BARTON COUNTY",11,"Severe Storm(s)","2019"
"MISSOURI",29,"BARTON COUNTY",11,"Flood","2016"
"MISSOURI",29,"BARTON COUNTY",11,"Flood","2017"
"GEORGIA",13,"BARTOW COUNTY",15,"Hurricane","2017"
"TEXAS",48,"BASTROP COUNTY",21,"Hurricane","2017"
"TEXAS",48,"BASTROP COUNTY",21,"Flood","2016"
"TEXAS",48,"BASTROP COUNTY",21,"Severe Storm(s)","2015"
"TEXAS",48,"BASTROP COUNTY",21,"Fire","2015"
"MISSOURI",29,"BATES COUNTY",13,"Severe Storm(s)","2019"
"MISSOURI",29,"BATES COUNTY",13,"Severe Storm(s)","2015"
"KENTUCKY",21,"BATH COUNTY",11,"Flood","2015"
"VIRGINIA",51,"BATH COUNTY",17,"Hurricane","2018"
"ARKANSAS",5,"BAXTER COUNTY",5,"Severe Storm(s)","2017"
"FLORIDA",12,"BAY COUNTY",5,"Hurricane","2017"
"FLORIDA",12,"BAY COUNTY",5,"Hurricane","2019"
"FLORIDA",12,"BAY COUNTY",5,"Hurricane","2018"
"MICHIGAN",26,"BAY COUNTY",17,"Severe Storm(s)","2017"
"WISCONSIN",55,"BAYFIELD COUNTY",7,"Flood","2018"
"WISCONSIN",55,"BAYFIELD COUNTY",7,"Severe Storm(s)","2016"
"TEXAS",48,"BAYLOR COUNTY",23,"Severe Storm(s)","2015"
"TEXAS",48,"BAYLOR COUNTY",23,"Flood","2019"
"SOUTH DAKOTA",46,"BEADLE COUNTY",5,"Flood","2019"
"NORTH CAROLINA",37,"BEAUFORT COUNTY",13,"Hurricane","2016"
"NORTH CAROLINA",37,"BEAUFORT COUNTY",13,"Hurricane","2019"
"NORTH CAROLINA",37,"BEAUFORT COUNTY",13,"Hurricane","2018"
"SOUTH CAROLINA",45,"BEAUFORT COUNTY",13,"Hurricane","2019"
"SOUTH CAROLINA",45,"BEAUFORT COUNTY",13,"Hurricane","2017"
"SOUTH CAROLINA",45,"BEAUFORT COUNTY",13,"Hurricane","2016"
"SOUTH CAROLINA",45,"BEAUFORT COUNTY",13,"Severe Storm(s)","2015"
"SOUTH CAROLINA",45,"BEAUFORT COUNTY",13,"Flood","2015"
"SOUTH CAROLINA",45,"BEAUFORT COUNTY",13,"Hurricane","2018"
"LOUISIANA",22,"BEAUREGARD PARISH",11,"Coastal Storm","2019"
"LOUISIANA",22,"BEAUREGARD PARISH",11,"Hurricane","2017"
"LOUISIANA",22,"BEAUREGARD PARISH",11,"Flood","2016"
"OKLAHOMA",40,"BEAVER COUNTY",7,"Fire","2017"
"OKLAHOMA",40,"BEAVER COUNTY",7,"Severe Storm(s)","2017"
"OKLAHOMA",40,"BEAVER COUNTY",7,"Severe Storm(s)","2019"
"OKLAHOMA",40,"BECKHAM COUNTY",9,"Severe Storm(s)","2016"
"OKLAHOMA",40,"BECKHAM COUNTY",9,"Tornado","2017"
"OKLAHOMA",40,"BECKHAM COUNTY",9,"Severe Storm(s)","2019"
"OKLAHOMA",40,"BECKHAM COUNTY",9,"Severe Storm(s)","2017"
"OKLAHOMA",40,"BECKHAM COUNTY",9,"Severe Storm(s)","2015"
"OKLAHOMA",40,"BECKHAM COUNTY",9,"Severe Ice Storm","2015"
"PENNSYLVANIA",42,"BEDFORD COUNTY",9,"Snow","2016"
"TENNESSEE",47,"BEDFORD COUNTY",3,"Severe Ice Storm","2015"
"TENNESSEE",47,"BEDFORD COUNTY",3,"Flood","2019"
"VIRGINIA",51,"BEDFORD COUNTY",19,"Hurricane","2018"
"TEXAS",48,"BEE COUNTY",25,"Hurricane","2017"
"NEW HAMPSHIRE",33,"BELKNAP COUNTY",1,"Severe Storm(s)","2017"
"NEW HAMPSHIRE",33,"BELKNAP COUNTY",1,"Severe Storm(s)","2018"
"KENTUCKY",21,"BELL COUNTY",13,"Flood","2018"
"KENTUCKY",21,"BELL COUNTY",13,"Severe Storm(s)","2019"
"KENTUCKY",21,"BELL COUNTY",13,"Flood","2015"
"OHIO",39,"BELMONT COUNTY",13,"Flood","2019"
"OHIO",39,"BELMONT COUNTY",13,"Flood","2018"
"MINNESOTA",27,"BELTRAMI COUNTY",7,"Flood","2018"
"GEORGIA",13,"BEN HILL COUNTY",17,"Hurricane","2018"
"GEORGIA",13,"BEN HILL COUNTY",17,"Hurricane","2017"
"IDAHO",16,"BENEWAH COUNTY",9,"Flood","2017"
"IDAHO",16,"BENEWAH COUNTY",9,"Severe Storm(s)","2016"
"IDAHO",16,"BENEWAH COUNTY",9,"Severe Storm(s)","2015"
"SOUTH DAKOTA",46,"BENNETT COUNTY",7,"Flood","2019"
"VERMONT",50,"BENNINGTON COUNTY",3,"Flood","2019"
"VERMONT",50,"BENNINGTON COUNTY",3,"Severe Storm(s)","2017"
"NORTH DAKOTA",38,"BENSON COUNTY",5,"Flood","2017"
"ARKANSAS",5,"BENTON COUNTY",7,"Severe Storm(s)","2017"
"ARKANSAS",5,"BENTON COUNTY",7,"Severe Storm(s)","2016"
