"c_fips","s_fips","state","county","ttl_pop","male_pop","med_age","male_med_age","female_med_age","white_pop","black_pop","native_pop","asian_pop","pacific_pop","other_race_pop","mult_race_pop","white_nonhisp_pop","hisp_ttl_pop","white_hisp_pop","black_hisp_pop","med_income","hurricane_2016","hurricane_2017","hurricane_2018","hurricane_2019","hurricane_2015","any_weather_2016","any_weather_2017","any_weather_2018","any_weather_2019","any_weather_2015","prop_dem","prop_rep","prop_lib","prop_green","prop_other","ttl_votes","happening","happening_oppose","weather_flag","hurricane_flag","poli_lean"
1,40,"OKLAHOMA","ADAIR COUNTY",22220,0.497434743474347,37.2,36.9,37.9,0.421242124212421,0.00162016201620162,0.441314131413141,0.00801080108010801,0.00216021602160216,0.025022502250225,0.100630063006301,0.398919891989199,0.0683168316831683,0.0223222322232223,0.000225022502250225,34695,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0.195132245357344,0.785734383792909,0.00872256612267867,0,0.0104108047270681,0.31989198919892,60.171,18.872,TRUE,FALSE,"red"
1,41,"OREGON","BAKER COUNTY",16019,0.515450402646857,48,45.3,49.9,0.92664960359573,0.00917660278419377,0.0123603221174855,0.00680441975154504,0.00368312628753355,0.0194768712154317,0.0218490542480804,0.903864161308446,0.0431362756726387,0.0227854422872838,0,45998,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.236206202174789,0.740233588401128,0.0144985904148208,0.00332259363672976,0.00573902537253323,0.620013733691242,67.286,16.084,FALSE,FALSE,"red"
1,42,"PENNSYLVANIA","ADAMS COUNTY",102470,0.492446569727725,43.9,42.5,45.4,0.927471455060018,0.0143261442373378,0.00125890504537914,0.00714355421098858,0,0.0267395335220064,0.0230604079242705,0.890065384990729,0.070918317556358,0.0374060700692886,0.0014736020298624,67253,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.32201980898479,0.663654050229926,0.0143261407852848,0,0,0.551771250121987,64.64,17.98,FALSE,FALSE,"red"
1,44,"RHODE ISLAND","BRISTOL COUNTY",48764,0.483943072758592,44.3,41.7,46.2,0.941903863505865,0.013329505372816,0.000697235665654991,0.0206299729308506,0,0.00588548929538184,0.0175539332294315,0.914240013124436,0.0304732999753917,0.0276638503814289,0.000717742596997785,83092,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.635227872602499,0.342952665845504,0.0114728136547598,0,0.0103466478972374,0.582704454105488,72.274,12.005,FALSE,FALSE,"blue"
1,45,"SOUTH CAROLINA","ABBEVILLE COUNTY",24627,0.484874324927925,44.3,42.1,45.5,0.699273155479758,0.276282129370203,0.000609087586794981,0.00320786129045357,0,0.00150241604742762,0.0191253502253624,0.688512608113047,0.0149023429569172,0.0107605473667113,0,38741,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.329847985200676,0.660741574841149,0.00707793774632028,0.00184991554733371,0.000482586664521837,0.5048523977748,66.592,12.699,TRUE,TRUE,"red"
1,47,"TENNESSEE","ANDERSON COUNTY",76061,0.488450059820407,43.3,41.4,45.1,0.908888918105205,0.0351165511891771,0.00554817843572922,0.0129106901039955,0.000867724589474238,0.0101234535438661,0.0265444840325528,0.891087416678718,0.029121363116446,0.0178015014264866,0,50392,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.33008152937869,0.65178521225752,0,0,0.0181332583637897,0.467650964357555,61.298,17.801,FALSE,FALSE,"red"
1,48,"TEXAS","ANDERSON COUNTY",57810,0.608908493340253,39.3,39,40.5,0.730271579311538,0.209721501470334,0.00548348036671856,0.00555267254800208,0.000155682407887909,0.0333160352880125,0.0154990486075074,0.589327106037018,0.177875800034596,0.14094447327452,0.000224874589171424,43455,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.205700317262183,0.785874031310137,0.00696936599573516,0.00114422426795652,0.000312061163988142,0.332589517384536,62.53,17.141,FALSE,FALSE,"red"
1,49,"UTAH","BEAVER COUNTY",6517,0.515881540586159,33,32.8,33.5,0.936473837655363,0,0.00966702470461869,0.00291545189504373,0,0.0250115083627436,0.0259321773822311,0.843332821850545,0.119686972533374,0.0931410158048182,0,55221,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.115161290322581,0.869354838709677,0.00741935483870968,0.00193548387096774,0.00612903225806452,0.475678993401872,58.874,21.406,FALSE,FALSE,"red"
1,5,"ARKANSAS","ARKANSAS COUNTY",17914,0.478117673328123,40.7,40,41.2,0.721279446243162,0.258792006252093,0.00167466785754159,0.000446578095344423,0,0.00496818131070671,0.0128391202411522,0.697610807189907,0.0319303338171263,0.0236686390532544,0,46696,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.28893833439288,0.684043229497775,0.00731087094723458,0.00254291163382072,0.0171646535282899,0.351233671988389,66.804,13.462,FALSE,FALSE,"red"
1,50,"VERMONT","ADDISON COUNTY",36882,0.496231223903259,43.5,42.6,44.5,0.938804837047882,0.014668401930481,0.00352475462285126,0.0179762485765414,0.000379588959383981,0.00650723930372539,0.0181389295591345,0.925464996475245,0.0231006995282251,0.0133398405726371,0.0025757822243913,68825,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.667330060589978,0.290433859625846,0.0109681128654195,0.00305161204723365,0.0282163548715227,0.613063282902229,75.383,9.896,FALSE,FALSE,"blue"
