disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,hash,lastRefresh,id
3557,2020-03-13T00:00:00.000Z,COVID-19,2020-01-20T00:00:00.000Z,,Emergency,NY,New York,Biological,2021-03-08T00:00:00.000Z,2021-03-08T00:00:00.000Z,,ec020051ef231a729dea407bb803b575aacd0565,2021-07-13T23:01:14.468Z,60468c02460b6fb83e050690
4590,2021-03-09T00:00:00.000Z,SEVERE WINTER STORMS,2021-02-11T00:00:00.000Z,2021-02-19T00:00:00.000Z,Major Disaster,LA,Louisiana,Severe Ice Storm,2021-03-09T00:00:00.000Z,2021-03-09T00:00:00.000Z,,cefb79c589eecdb678a90cef6914b62a4753869a,2021-07-13T23:01:14.034Z,6047a9dc460b6fb83e24adad
4591,2021-03-28T00:00:00.000Z,COVID-19 PANDEMIC,2020-01-20T00:00:00.000Z,,Major Disaster,AL,Alabama,Biological,2021-03-28T00:00:00.000Z,2021-08-05T00:00:00.000Z,,8014b5960b44b6883ee76fe544e623562a921e38,2021-08-05T22:21:11.425Z,6060bb13460b6fb83e0b9fa7
5384,2021-03-29T00:00:00.000Z,SCHROEDER FIRE,2021-03-29T00:00:00.000Z,2021-04-04T00:00:00.000Z,Fire Management,SD,South Dakota,Fire,2021-03-31T00:00:00.000Z,2021-05-14T00:00:00.000Z,,f96d08cc4835cac565395386477e57103cd42a9c,2021-07-13T23:01:14.034Z,6064d9be5d037ccb7db1ee51
4592,2021-03-31T00:00:00.000Z,"SEVERE WINTER STORMS, LANDSLIDES, AND MUDSLIDES",2021-02-08T00:00:00.000Z,2021-02-19T00:00:00.000Z,Major Disaster,KY,Kentucky,Severe Ice Storm,2021-03-31T00:00:00.000Z,2021-03-31T00:00:00.000Z,,146de6d80ae3807658eb624cd30a51d87da27e4b,2021-07-13T23:01:14.034Z,606503f85d037ccb7d048663
4593,2021-04-08T00:00:00.000Z,"SEVERE WINTER STORM, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2020-12-29T00:00:00.000Z,2021-01-16T00:00:00.000Z,Major Disaster,WA,Washington,Severe Storm(s),2021-04-08T00:00:00.000Z,2021-04-08T00:00:00.000Z,,fee1d4d0230fbc07817b4edfa8542881fa460435,2021-07-13T23:01:14.034Z,606f4e5d5d037ccb7dce602f
5385,2021-04-08T00:00:00.000Z,MARGO FIRE,2021-04-08T00:00:00.000Z,,Fire Management,AZ,Arizona,Fire,2021-04-12T00:00:00.000Z,2021-04-12T00:00:00.000Z,,4e912283e48e9ebd2910d2b52f7067aca03928f8,2021-07-13T23:01:14.033Z,6074a71ca0ee349d71e08523
3558,2020-03-13T00:00:00.000Z,COVID-19,2020-01-20T00:00:00.000Z,,Emergency,NM,New Mexico,Biological,2021-04-14T00:00:00.000Z,2021-10-01T00:00:00.000Z,2021-09-30T00:00:00.000Z,94cbf2474a48238df2e9d9cd9bd37b5053728acf,2021-10-01T15:01:23.218Z,607703d1a0ee349d7195db2e
4594,2021-04-21T00:00:00.000Z,SEVERE WINTER STORMS,2021-02-11T00:00:00.000Z,2021-02-19T00:00:00.000Z,Major Disaster,TN,Tennessee,Severe Ice Storm,2021-04-21T00:00:00.000Z,2021-04-21T00:00:00.000Z,,188fea9633eef49bcc5bd353d8ae93323081d53f,2021-07-13T23:01:14.033Z,6080a566a0ee349d71287a4e
4595,2021-04-23T00:00:00.000Z,"SEVERE, STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2021-02-27T00:00:00.000Z,2021-03-14T00:00:00.000Z,Major Disaster,KY,Kentucky,Flood,2021-04-23T00:00:00.000Z,2021-04-23T00:00:00.000Z,,d861739b600de817db84aeb05a5783df3bc29c96,2021-07-13T23:01:14.033Z,60833a57a0ee349d7165b1c6
